City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,44.6,65,40,6.91,CL,1612581417
Kyzyl-Suu,42.3414,78.0056,27.63,76,75,6.31,KG,1612581854
Churapcha,62.0025,132.4325,-33.66,80,100,4.09,RU,1612581855
Yumen,40.2833,97.2,34.3,65,100,18.07,CN,1612581452
Lata,40.1629,-8.3327,51.01,93,100,1.99,PT,1612581857
Kapaa,22.0752,-159.319,71.6,56,40,8.05,US,1612581336
La Ronge,55.1001,-105.2842,-22.0,69,62,9.22,CA,1612581317
Santa Isabel Rio Negro,-0.4139,-65.0192,75.04,97,100,0.92,BR,1612581861
Coyhaique,-45.5752,-72.0662,62.6,72,0,2.3,CL,1612581862
Bali,-8.5,115.0,82.4,83,20,3.44,ID,1612581863
Tasiilaq,65.6145,-37.6368,26.6,68,90,5.75,GL,1612581864
El Sauce,12.8869,-86.539,75.29,68,83,3.31,NI,1612581866
Iqaluit,63.7506,-68.5145,21.2,79,75,12.66,CA,1612581867
Barrow,71.2906,-156.7887,-9.4,70,75,6.91,US,1612581559
Oriximiná,-1.7656,-55.8661,80.11,72,65,2.48,BR,1612581857
Butaritari,3.0707,172.7902,80.87,82,72,18.75,KI,1612581870
Srīvardhan,18.0333,73.0167,72.82,40,1,6.42,IN,1612581872
Yellowknife,62.456,-114.3525,-34.6,67,75,6.91,CA,1612581563
Port Alfred,-33.5906,26.891,71.01,92,99,1.01,ZA,1612581562
Kinsale,51.7075,-8.5306,41.0,93,75,5.75,IE,1612581875
Collie,-33.3667,116.15,66.0,60,100,3.0,AU,1612581876
Araouane,18.9048,-3.5265,75.51,17,100,8.57,ML,1612581727
Mataura,-46.1927,168.8643,76.17,47,88,4.94,NZ,1612581418
Rio Real,-11.4847,-37.9328,74.61,84,33,8.72,BR,1612581880
Busselton,-33.65,115.3333,66.99,67,100,5.01,AU,1612581556
Lebu,-37.6167,-73.65,56.98,93,12,0.87,CL,1612581730
Yugorsk,61.3133,63.3319,16.25,97,100,6.42,RU,1612581884
Cam Ranh,11.9214,109.1591,82.4,54,20,12.66,VN,1612581886
Albany,42.6001,-73.9662,35.01,62,6,6.35,US,1612581420
Provideniya,64.3833,-173.3,10.04,93,100,4.61,RU,1612581565
Fortuna,40.5982,-124.1573,50.0,93,90,12.66,US,1612581593
Matagami,49.7502,-77.6328,24.8,93,90,17.27,CA,1612581890
Ushuaia,-54.8,-68.3,44.6,76,40,21.85,AR,1612581681
Moosomin,50.1333,-101.6677,-21.73,85,7,16.51,CA,1612581893
Basoko,1.2391,23.616,70.03,87,94,2.64,CD,1612581894
Owando,-0.4819,15.8999,73.83,79,42,2.04,CG,1612581895
Clyde River,70.4692,-68.5914,-14.8,76,90,3.44,CA,1612581562
Ghanzi,-21.5667,21.7833,68.14,92,99,13.2,BW,1612581563
Geraldton,-28.7667,114.6,71.6,68,90,25.32,AU,1612581899
Bluff,-46.6,168.3333,60.84,70,11,7.11,NZ,1612581419
Jieshou,33.2634,115.3611,59.2,45,66,10.78,CN,1612581748
Upington,-28.4478,21.2561,71.6,56,0,8.05,ZA,1612581903
Vila Velha,-20.3297,-40.2925,80.01,83,75,10.36,BR,1612581900
Portland,45.5234,-122.6762,48.99,81,90,4.61,US,1612581316
Cockburn Town,21.4612,-71.1419,77.05,84,25,20.15,TC,1612581908
Vorotynets,56.0603,45.8633,-1.71,92,100,12.91,RU,1612581909
Mīnāb,27.1467,57.0801,55.4,82,20,6.91,IR,1612581911
Ahipara,-35.1667,173.1667,68.32,76,97,3.8,NZ,1612581787
Tual,-5.6667,132.75,83.91,78,100,19.04,ID,1612581398
Kahului,20.8947,-156.47,73.4,56,40,6.91,US,1612581567
Ouro Sogui,15.6064,-13.3211,72.0,27,100,15.84,SN,1612581916
Chuncheng,22.1731,111.7886,77.0,46,0,2.73,CN,1612581918
Tiksi,71.6872,128.8694,-24.0,87,100,3.44,RU,1612581327
Boffa,10.1667,-14.0333,69.1,79,94,3.76,GN,1612581920
Trelew,-43.249,-65.3051,63.09,60,0,21.47,AR,1612581921
Carahue,-38.7,-73.1667,56.68,91,6,1.19,CL,1612581922
Pevek,69.7008,170.3133,-16.22,86,47,3.09,RU,1612581925
Am Timan,11.0297,20.2827,66.36,25,91,8.7,TD,1612581865
Saint-Philippe,-21.3585,55.7679,80.6,61,0,6.91,RE,1612581567
Ouanaminthe,19.55,-71.7333,73.89,84,1,3.98,HT,1612581928
Hong Kong,22.2855,114.1577,73.0,65,0,1.01,HK,1612581712
Sydney,-33.8679,151.2073,77.0,78,100,16.11,AU,1612581729
Tuktoyaktuk,69.4541,-133.0374,-31.0,75,75,8.05,CA,1612581932
Quatre Cocos,-20.2078,57.7625,77.0,94,40,4.61,MU,1612581933
Salinópolis,-0.6136,-47.3561,79.34,81,76,11.32,BR,1612581432
Syedove,47.0768,38.156,21.99,53,5,3.0,UA,1612581935
Atar,20.5169,-13.0499,55.35,60,100,7.14,MR,1612581936
Olafsvik,64.8945,-23.7142,38.3,76,100,22.73,IS,1612581873
Salisbury,51.0693,-1.7957,33.01,100,90,3.44,GB,1612581905
Mar del Plata,-38.0023,-57.5575,71.01,68,0,11.5,AR,1612581568
Srednekolymsk,67.45,153.6833,-19.48,84,16,3.2,RU,1612581941
Ihtiman,42.4333,23.8167,41.0,93,98,2.93,BG,1612581942
Pemberton,50.3164,-122.8027,39.0,81,92,2.73,CA,1612581871
Les Cayes,18.2,-73.75,75.43,84,25,4.03,HT,1612581945
Dikson,73.5069,80.5464,-30.59,85,36,10.07,RU,1612581561
Itamarandiba,-17.8572,-42.8589,67.05,95,100,1.21,BR,1612581947
Souillac,-20.5167,57.5167,75.2,94,40,4.61,MU,1612581948
Thompson,55.7435,-97.8558,-23.8,69,40,13.8,CA,1612581758
San Ramon,37.7799,-121.978,54.0,58,1,3.44,US,1612581950
Kaitangata,-46.2817,169.8464,64.2,62,84,5.32,NZ,1612581403
Castro,-24.7911,-50.0119,56.55,72,0,2.57,BR,1612581954
Soe,-9.8607,124.284,77.22,76,100,11.61,ID,1612581955
Colón,9.3592,-79.9014,80.01,78,93,5.99,PA,1612581956
Kabo,7.6994,18.629,69.39,25,13,5.12,CF,1612581957
Misratah,32.3754,15.0925,63.05,37,49,10.8,LY,1612581959
Zamora,-4.0692,-78.9567,68.5,72,95,0.76,EC,1612581960
Markova,48.6758,24.4138,28.06,97,100,3.38,UA,1612581962
Bubaque,11.2833,-15.8333,77.52,57,99,16.87,GW,1612581671
Curitibanos,-27.2828,-50.5844,51.48,100,1,1.83,BR,1612581965
Cayenne,4.9333,-52.3333,77.0,94,75,8.05,GF,1612581448
Mehrān,33.1222,46.1646,41.0,93,75,6.91,IR,1612581967
Naze,28.3667,129.4833,73.4,60,40,18.41,JP,1612581560
Oranjemund,-28.55,16.4333,60.69,93,5,6.82,NA,1612581969
Hasaki,35.7333,140.8333,55.99,44,20,4.61,JP,1612581970
Vestmannaeyjar,63.4427,-20.2734,40.62,69,96,27.45,IS,1612581972
Severo-Kuril'sk,50.6789,156.125,17.11,81,48,7.87,RU,1612581973
Esperance,-33.8667,121.9,60.8,82,75,11.5,AU,1612581567
East London,-33.0153,27.9116,71.6,94,90,5.75,ZA,1612581871
Saskylakh,71.9167,114.0833,-33.65,83,73,3.6,RU,1612581562
Grindavik,63.8424,-22.4338,35.6,75,40,21.85,IS,1612581980
Barão de Cocais,-19.9458,-43.4872,69.8,88,90,2.04,BR,1612581981
São Félix do Xingu,-6.6447,-51.995,73.36,92,100,1.68,BR,1612581982
Ponta do Sol,32.6667,-17.1,51.01,69,50,3.0,PT,1612581983
Ketchikan,55.3422,-131.6461,33.8,100,90,4.61,US,1612581985
Diapaga,12.0708,1.7889,75.74,19,94,9.17,BF,1612581986
Uchaly,54.2996,59.4521,30.94,99,100,14.67,RU,1612581987
Lavrentiya,65.5833,-171.0,2.88,92,100,10.45,RU,1612581908
Ola,59.5833,151.2833,3.34,86,96,15.77,RU,1612581989
Hualmay,-11.0964,-77.6139,69.87,81,90,6.33,PE,1612581477
Lompoc,34.6391,-120.4579,55.99,82,1,5.75,US,1612581993
Walvis Bay,-22.9575,14.5053,64.99,88,1,1.14,NA,1612581994
Ribeira Grande,38.5167,-28.7,59.11,83,100,13.49,PT,1612581995
Witu,-2.3889,40.4382,77.0,83,1,1.95,KE,1612581996
Cadillac,44.2519,-85.4012,10.4,85,90,12.66,US,1612581768
Magway,20.15,94.9167,79.16,35,0,1.1,MM,1612582000
Mitú,1.1983,-70.1733,72.93,98,100,2.15,CO,1612582001
Iquitos,-3.7481,-73.2472,75.2,88,75,6.91,PE,1612582002
Yerbogachën,61.2767,108.0108,-3.46,91,100,3.67,RU,1612581746
Gawler,-34.6,138.7333,69.01,75,83,13.0,AU,1612581915
Urusha,54.05,122.9,-5.46,83,39,4.32,RU,1612582006
Rawson,-43.3002,-65.1023,63.27,64,0,23.47,AR,1612581927
Cabo San Lucas,22.8909,-109.9124,70.0,60,1,3.44,MX,1612581512
Luba,3.4568,8.5547,78.8,89,20,6.91,GQ,1612582009
Ulladulla,-35.35,150.4667,73.4,100,90,8.05,AU,1612582010
Narsaq,60.9167,-46.05,12.2,62,0,5.75,GL,1612581524
Tuatapere,-46.1333,167.6833,66.47,68,19,8.21,NZ,1612581962
Okhotsk,59.3833,143.3,4.75,91,100,6.26,RU,1612581455
Vardø,70.3705,31.1107,27.55,94,99,25.32,NO,1612582017
Monywa,22.1167,95.1333,72.82,37,0,5.28,MM,1612582019
Kushima,31.4583,131.2333,55.4,88,75,6.91,JP,1612582020
Constanța,44.1833,28.65,37.4,100,90,1.14,RO,1612582021
Shimokizukuri,40.8061,140.3861,44.01,93,75,12.66,JP,1612582022
Oistins,13.0667,-59.5333,78.8,61,20,20.71,BB,1612582024
Rørvik,64.8621,11.2373,24.28,92,17,7.52,NO,1612582025
Hithadhoo,-0.6,73.0833,82.11,79,98,17.22,MV,1612581566
George Town,5.4112,100.3354,87.8,58,20,5.75,MY,1612581833
Paamiut,61.994,-49.6678,21.72,77,1,5.77,GL,1612582028
Cidreira,-30.1811,-50.2056,66.25,77,0,12.39,BR,1612581563
Yangi Marg`ilon,40.4272,71.7189,35.6,60,100,4.61,UZ,1612582031
Cherskiy,68.75,161.3,-7.65,80,100,0.65,RU,1612582032
Chui,-33.6971,-53.4616,59.11,89,0,5.3,UY,1612581562
Nikolskoye,59.7035,30.7861,12.0,78,75,13.42,RU,1612581568
Boca del Monte,19.15,-96.8167,75.0,88,20,11.5,MX,1612582037
São Filipe,14.8961,-24.4956,69.42,75,9,13.18,CV,1612581866
Phan Thiet,10.9333,108.1,81.72,57,7,7.87,VN,1612582039
Leningradskiy,69.3833,178.4167,-9.04,87,100,7.14,RU,1612582040
Karratha,-20.7377,116.8463,83.77,64,43,12.82,AU,1612581468
Barcelona,41.3888,2.159,60.01,72,40,19.57,ES,1612582043
Isangel,-19.55,169.2667,87.8,66,20,3.44,VU,1612581564
Bambous Virieux,-20.3428,57.7575,77.0,94,40,4.61,MU,1612582045
Upernavik,72.7868,-56.1549,9.48,73,100,4.56,GL,1612582046
Faanui,-16.4833,-151.75,81.64,64,3,4.25,PF,1612582047
Havre-St-Pierre,50.2334,-63.5986,30.2,100,90,13.8,CA,1612581426
Bredasdorp,-34.5322,20.0403,55.4,94,0,1.57,ZA,1612581563
Narathiwat,6.3333,101.75,87.8,62,20,9.22,TH,1612582051
Lorengau,-2.0226,147.2712,82.04,80,74,7.65,PG,1612581957
Konya Province,38.1667,32.5,30.2,93,0,2.3,TR,1612582054
Vila Franca do Campo,37.7167,-25.4333,57.2,94,75,8.05,PT,1612582056
Aklavik,68.2191,-135.0107,-22.0,76,22,4.61,CA,1612582057
Çermik,38.1361,39.4493,32.0,80,0,2.3,TR,1612581544
Meulaboh,4.1363,96.1285,83.79,70,35,2.21,ID,1612582059
Celestún,20.8667,-90.4,74.64,75,0,6.62,MX,1612582060
Meadow Lake,34.8014,-106.5436,48.0,29,40,11.5,US,1612582063
Nadym,65.5333,72.5167,-10.19,90,100,12.26,RU,1612581877
San Quintín,30.4833,-115.95,57.9,78,0,11.01,MX,1612582065
Alta Floresta,-9.8756,-56.0861,73.44,96,100,2.35,BR,1612582066
Chamonix,45.9238,6.8693,43.0,96,100,1.01,FR,1612582070
Khatanga,71.9667,102.5,-34.82,78,5,6.29,RU,1612582072
Kérouané,9.2667,-9.0167,75.87,50,54,3.04,GN,1612582073
Katsuura,35.1333,140.3,57.99,62,20,5.75,JP,1612582074
Kruisfontein,-34.0033,24.7314,64.99,92,9,2.57,ZA,1612581566
Kiruna,67.8557,20.2251,23.0,80,90,13.8,SE,1612582077
Villarrica,-25.75,-56.4333,63.75,79,0,4.59,PY,1612582078
Ust-Nera,64.5667,143.2,-10.68,81,100,3.27,RU,1612582079
Kabompo,-13.5927,24.2008,64.4,98,100,3.06,ZM,1612582080
Malé,4.1748,73.5089,80.6,83,75,8.05,MV,1612582068
Luanda,-8.8368,13.2343,78.8,83,40,6.91,AO,1612582083
Östersund,63.1792,14.6357,8.6,92,90,5.75,SE,1612582084
Batagay-Alyta,67.8006,130.4114,-24.38,84,100,2.8,RU,1612582085
Znamenskoye,57.1281,73.8282,34.45,98,100,10.16,RU,1612582086
Talnakh,69.4865,88.3972,-27.4,83,67,5.19,RU,1612582088
Kastamonu Province,41.5,33.6667,35.6,83,23,2.13,TR,1612582089
Yeniseysk,58.4497,92.1703,6.66,95,100,4.34,RU,1612582090
Berbérati,4.2612,15.7922,66.88,36,8,1.16,CF,1612582091
Bowen,-20.0167,148.2333,86.0,66,90,12.66,AU,1612581965
Sitka,57.0531,-135.33,35.6,87,90,3.44,US,1612582095
Khovd,48.0056,91.6419,15.17,85,29,1.03,MN,1612582096
San Cristobal,7.7669,-72.225,67.84,79,100,1.66,VE,1612582096
Charters Towers,-20.1,146.2667,88.03,55,92,11.95,AU,1612582098
Sabha,27.0377,14.4283,55.02,40,8,11.34,LY,1612582100
Ruston,32.5232,-92.6379,35.6,75,40,3.98,US,1612582101
Pringsewu,-5.3582,104.9744,82.31,72,55,9.22,ID,1612582102
Sehithwa,-20.4667,22.7167,70.29,92,100,5.26,BW,1612582103
Sept-Îles,50.2001,-66.3821,32.0,93,100,9.22,CA,1612582104
Tiverton,50.9,-3.4833,32.0,100,20,3.44,GB,1612582105
Kidal,18.4411,1.4078,69.57,21,100,12.57,ML,1612582107
Nanortalik,60.1432,-45.2371,20.55,73,0,4.07,GL,1612582108
College,64.8569,-147.8028,-7.6,71,75,3.44,US,1612581943
Haines Junction,60.7522,-137.5108,-16.6,76,100,2.3,CA,1612581531
Worland,44.0169,-107.9554,30.0,93,90,4.61,US,1612582111
Fereydūnkenār,36.6864,52.5225,52.39,91,99,11.41,IR,1612582113
Sikasso,10.9167,-7.0,75.33,21,34,0.85,ML,1612582114
Pakokku,21.3333,95.1,74.35,35,14,4.81,MM,1612582115
Tyukhtet,56.5389,89.3011,10.33,92,94,6.29,RU,1612582116
Waingapu,-9.6567,120.2641,85.26,68,100,13.85,ID,1612582117
Turukhansk,65.8167,87.9833,-25.6,85,98,7.61,RU,1612582119
Chifeng,42.2683,118.9636,24.75,90,0,10.36,CN,1612582121
Sisimiut,66.9395,-53.6735,16.18,78,100,14.45,GL,1612582122
San Juan,-31.5375,-68.5364,79.7,35,0,4.14,AR,1612582123
Manavālakurichi,8.1333,77.3,82.4,65,20,2.3,IN,1612582124
Cukai,4.25,103.4167,82.4,78,40,5.75,MY,1612582127
La Santisima Trinidad,-14.8333,-64.9,75.96,72,40,1.99,BO,1612582128
Airai,-8.9266,125.4092,69.31,85,100,6.8,TL,1612582129
Gisborne,-38.6533,178.0042,64.99,73,70,4.0,NZ,1612582130
Tilichiki,60.4667,166.1,7.93,97,99,9.64,RU,1612582132
Jorhāt,26.75,94.2167,64.4,72,20,4.61,IN,1612582133
Christchurch,-43.5333,172.6333,64.99,63,75,20.71,NZ,1612582134
Talcahuano,-36.7167,-73.1167,60.8,88,90,4.61,CL,1612582135
Yaan,7.3833,8.5667,72.72,43,24,5.17,NG,1612582136
Panguna,-6.3164,155.4848,84.6,57,18,3.44,PG,1612582137
Buchanan,5.8808,-10.0467,77.0,94,20,4.61,LR,1612582139
Buala,-8.145,159.5921,85.64,70,19,9.93,SB,1612581908
Warragul,-38.1667,145.9333,72.0,58,95,5.99,AU,1612581927
Arraial do Cabo,-22.9661,-42.0278,74.73,95,100,18.84,BR,1612582042
Panacan,9.2463,118.4082,86.0,70,40,16.11,PH,1612582143
Teya,60.3778,92.6267,1.35,90,100,5.12,RU,1612582144
Hobyo,5.3505,48.5268,76.44,70,46,15.23,SO,1612582146
Acajutla,13.5928,-89.8275,76.24,72,88,6.4,SV,1612582147
Nabire,-3.3667,135.4833,82.02,71,99,2.15,ID,1612581907
Mozarlândia,-14.7447,-50.5706,74.66,89,100,5.26,BR,1612582149
Hurricane,37.1753,-113.2899,51.8,30,20,12.66,US,1612582150
Luzhou,28.8724,105.4405,56.32,64,92,2.62,CN,1612582152
Bayjī,34.9311,43.487,55.56,92,100,6.22,IQ,1612582153
George Town,5.4112,100.3354,87.8,58,20,5.75,MY,1612582154
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,-1.55,87,94,2.93,RU,1612582155
Aksarka,66.5606,67.7975,-22.23,86,100,15.28,RU,1612581812
Eastbourne,50.7687,0.2845,41.0,92,0,1.01,GB,1612582157
Narrabri,-30.3167,149.7833,70.0,88,75,12.66,AU,1612582159
Gandajika,-6.75,23.95,68.86,92,100,1.99,CD,1612582160
Sechenovo,55.2244,45.8906,-2.09,92,100,15.05,RU,1612582161
Torbay,47.6666,-52.7314,34.0,100,90,26.46,CA,1612582162
Toftlund,55.1886,9.0693,27.0,80,75,14.97,DK,1612582163
Kendari,-3.945,122.4989,89.17,61,69,1.99,ID,1612582165
Salalah,17.0151,54.0924,68.0,68,20,4.61,OM,1612582166
Los Llanos de Aridane,28.6585,-17.9182,59.0,55,0,5.75,ES,1612582167
Aleksandrov Gay,50.147,48.5704,20.95,94,100,23.76,RU,1612582168
Laas,46.6166,10.7002,39.99,93,75,3.44,IT,1612582169
Klyuchi,52.2667,79.1667,29.43,98,100,7.11,RU,1612582172
Port Macquarie,-31.4333,152.9167,84.99,59,100,1.99,AU,1612582173
Taoudenni,22.6783,-3.9836,69.15,30,100,11.61,ML,1612582174
Valparaíso,-33.0393,-71.6273,60.8,88,90,4.61,CL,1612581986
Jalu,29.0331,21.5482,53.33,63,35,4.74,LY,1612582176
Touros,-5.1989,-35.4608,73.4,88,0,2.3,BR,1612581813
Linda,39.1277,-121.5508,53.6,54,1,4.61,US,1612582180
Aban,56.67,96.06,7.75,94,100,5.91,RU,1612582181
Manjacaze,-24.7117,33.8828,74.43,95,100,4.85,MZ,1612582183
Fuyu,45.1833,124.8167,9.99,94,100,6.26,CN,1612582185
Smithers,54.7804,-127.1743,28.4,80,90,1.54,CA,1612582186
Frankfort,-27.2667,28.4833,57.85,96,99,4.18,ZA,1612582048
Tena,-0.9833,-77.8167,70.18,80,97,2.64,EC,1612582188
Saint Anthony,45.0205,-93.218,6.8,61,1,13.8,US,1612582189
Dajal,29.5577,70.3762,53.96,48,0,2.37,PK,1612582191
Kibala,9.1104,18.3463,69.8,40,0,6.06,TD,1612582164
Mil'kovo,54.7167,158.6167,2.64,91,100,3.38,RU,1612582193
Codrington,-38.2667,141.9667,69.64,51,8,13.29,AU,1612582195
Bethel,41.3712,-73.414,33.8,80,1,4.61,US,1612582197
Copiapó,-27.3667,-70.3333,60.8,82,90,8.05,CL,1612582198
Tsogni,-2.7942,10.0988,77.77,88,100,4.41,GA,1612582199
Jiayuguan City,39.8167,98.3,34.68,60,100,3.78,CN,1612582201
Panabá,21.2833,-88.2667,69.48,93,0,8.61,MX,1612582204
Jinchang,38.4953,102.1739,39.72,46,0,3.74,CN,1612582206
Aswān,24.0934,32.907,54.61,59,0,9.37,EG,1612582207
Beyşehir,37.6773,31.7246,40.8,66,0,2.77,TR,1612582209
Parabel',58.6978,81.4825,15.76,96,100,9.75,RU,1612582210
Marawi,7.9986,124.2928,82.0,82,49,5.99,PH,1612582211
Kheri,27.9,80.8,62.01,62,0,4.52,IN,1612582213
Sorong,-0.8833,131.25,84.27,70,97,4.23,ID,1612582215
Acapulco de Juárez,16.8634,-99.8901,80.6,74,75,2.3,MX,1612582216
Yanji,42.9075,129.5078,30.87,92,100,2.46,CN,1612582217
Mindelo,16.8901,-24.9804,66.2,77,20,16.11,CV,1612582218
Badvel,14.75,79.05,75.96,55,65,5.91,IN,1612582220
Noumea,-22.2763,166.4572,87.8,70,75,9.22,NC,1612582221
Palmer,42.1584,-72.3287,27.0,93,1,3.44,US,1612582222
La Libertad,-2.2333,-80.9,76.66,83,47,10.09,EC,1612582223
Kondopoga,62.2057,34.2614,10.4,79,100,13.42,RU,1612582225
Kieta,-6.2167,155.6333,85.66,67,82,10.36,PG,1612582226
Sémbé,1.6481,14.5806,71.13,85,74,2.64,CG,1612582228
Ostrovnoy,68.0531,39.5131,17.29,96,100,4.85,RU,1612582214
Valuyki,50.2035,38.1067,17.15,88,23,11.74,RU,1612582230
Vaitape,-16.5167,-151.75,81.25,65,2,4.56,PF,1612582232
Orlik,52.5178,99.825,-1.16,81,99,2.62,RU,1612582233
Mayo,38.8876,-76.5119,42.8,39,1,8.05,US,1612582187
Mastung,29.7994,66.845,46.58,41,0,1.86,PK,1612582235
Mount Gambier,-37.8333,140.7667,68.0,60,75,19.57,AU,1612582237
Uray,60.1247,64.7758,35.28,97,100,12.86,RU,1612582238
Abhā,18.2164,42.5053,51.8,81,20,11.5,SA,1612582079
Thinadhoo,0.5333,72.9333,82.33,75,92,15.7,MV,1612582241
Pinar del Río,22.4175,-83.6981,70.16,94,18,7.4,CU,1612582242
Trincomalee,8.5711,81.2335,79.12,80,84,13.6,LK,1612582244
Bahía de Caráquez,-0.6,-80.4167,78.8,83,75,4.61,EC,1612582245
Maniitsoq,65.4167,-52.9,18.52,74,100,4.5,GL,1612581952
Galesong,-5.3166,119.3661,86.0,70,20,3.44,ID,1612582247
Ushibukamachi,32.1906,130.0228,55.47,77,66,3.24,JP,1612582248
Adrar,20.5022,-10.0711,57.07,53,93,11.12,MR,1612582250
Dickinson,29.4608,-95.0513,51.01,81,90,6.91,US,1612582251
Seoul,37.5683,126.9778,48.2,71,75,10.36,KR,1612582234
Rundu,-17.9333,19.7667,68.14,84,100,1.57,NA,1612582253
Santa Isabel,-23.3156,-46.2214,68.0,88,75,4.61,BR,1612582255
Camaná,-16.6228,-72.7111,70.5,79,96,4.27,PE,1612582256
Dolores,-36.3132,-57.6792,59.18,78,0,8.23,AR,1612582257
Golāghāt,26.5167,93.9667,71.06,42,1,4.03,IN,1612582258
Haikou,20.0458,110.3417,69.8,88,90,6.71,CN,1612582259
Saldanha,-33.0117,17.9442,62.6,94,0,8.05,ZA,1612582261
Svay Rieng,11.0879,105.7993,86.61,51,39,4.41,KH,1612582262
Ternate,0.8,127.4,83.57,76,100,9.51,ID,1612582265
Ust'-Omchug,61.15,149.6333,-16.13,82,11,2.66,RU,1612582266
Alenquer,-1.9417,-54.7383,77.0,94,0,2.3,BR,1612582267
St Albans,51.75,-0.3333,43.0,93,90,3.44,GB,1612582268
Rūdbār,30.15,62.6,56.97,29,24,6.06,AF,1612582269
Kavaratti,10.5669,72.642,80.69,75,42,13.98,IN,1612582219
El Salvador,13.8333,-88.9167,75.2,78,0,2.3,SV,1612582272
Cap-aux-Meules,47.3821,-61.8597,32.0,93,93,5.75,CA,1612582141
Bolkhov,53.4433,36.0044,1.42,93,94,8.43,RU,1612582275
Esso,55.9333,158.7,4.82,87,100,3.29,RU,1612582276
San Ignacio Río Muerto,27.4167,-110.2333,59.97,56,0,10.33,MX,1612582278
Acaraú,-2.8856,-40.12,78.22,80,19,12.12,BR,1612582279
Arlit,18.7369,7.3853,64.09,26,28,10.8,NE,1612582275
Yulara,-25.2406,130.9889,84.2,24,55,10.36,AU,1612582282
Bandar-e Lengeh,26.5579,54.8807,68.0,73,3,13.8,IR,1612582162
Matara,5.9485,80.5353,79.59,78,84,6.49,LK,1612582106
Hofn,64.2539,-15.2082,37.15,79,100,16.06,IS,1612582285
Aripuanã,-9.1667,-60.6333,73.36,94,100,1.63,BR,1612582286
Alofi,-19.0595,-169.9187,80.6,83,100,11.5,NU,1612582288
Baruun-Urt,46.6806,113.2792,4.17,87,0,8.52,MN,1612582289
Road Town,18.4167,-64.6167,78.01,83,9,5.01,VG,1612582290
